x-axis,1,2,F1
second,Volt,Volt,Volt
+116.20000E-06,+14.66284749186E+00,+14.79757052751E+00,+134.66302779E-03
+116.25000E-06,+14.66166878658E+00,+14.79593949339E+00,+134.20916952E-03
+116.30000E-06,+14.65954788382E+00,+14.79425235988E+00,+134.64359005E-03
+116.35000E-06,+14.65807483389E+00,+14.79328070766E+00,+135.14428903E-03
+116.40000E-06,+14.65632931929E+00,+14.79183040834E+00,+135.44059990E-03
+116.45000E-06,+14.65456458706E+00,+14.78978013711E+00,+135.15478310E-03
+116.50000E-06,+14.65297807199E+00,+14.78850959494E+00,+135.46954731E-03
+116.55000E-06,+14.65124982652E+00,+14.78666078146E+00,+135.35014869E-03
+116.60000E-06,+14.64908692761E+00,+14.78569927136E+00,+136.54995083E-03
+116.65000E-06,+14.64786498019E+00,+14.78484968039E+00,+136.92252268E-03
+116.70000E-06,+14.64615230858E+00,+14.78319191268E+00,+136.97880522E-03
+116.75000E-06,+14.64455248325E+00,+14.78210549053E+00,+137.49114473E-03
+116.80000E-06,+14.64229550721E+00,+14.78084269723E+00,+138.48430345E-03
+116.85000E-06,+14.64105996309E+00,+14.77906572283E+00,+137.94282656E-03
+116.90000E-06,+14.63935445843E+00,+14.77752599344E+00,+138.10918379E-03
+116.95000E-06,+14.63739566078E+00,+14.77591321816E+00,+138.45425973E-03
+117.00000E-06,+14.63571149415E+00,+14.77439866203E+00,+138.62530465E-03
+117.05000E-06,+14.63386482819E+00,+14.77304682911E+00,+139.11872804E-03
+117.10000E-06,+14.63238132256E+00,+14.77259236631E+00,+140.14827500E-03
+117.15000E-06,+14.63055655545E+00,+14.77135133542E+00,+140.73112830E-03
+117.20000E-06,+14.62917886935E+00,+14.76986276438E+00,+140.62187276E-03
+117.25000E-06,+14.62785217577E+00,+14.76822673571E+00,+140.31211348E-03
+117.30000E-06,+14.62578137533E+00,+14.76681350809E+00,+140.96903925E-03
+117.35000E-06,+14.62451417391E+00,+14.76544486510E+00,+140.86665476E-03
+117.40000E-06,+14.62292966013E+00,+14.76349555001E+00,+140.50315641E-03
+117.45000E-06,+14.62100342431E+00,+14.76202716522E+00,+140.96098916E-03
+117.50000E-06,+14.61952786730E+00,+14.75996952504E+00,+140.37911416E-03
+117.55000E-06,+14.61742151025E+00,+14.75897008167E+00,+141.48491026E-03
+117.60000E-06,+14.61560246735E+00,+14.75796185223E+00,+142.29563021E-03
+117.65000E-06,+14.61420989784E+00,+14.75768096256E+00,+143.40610369E-03
+117.70000E-06,+14.61246684058E+00,+14.75629480020E+00,+143.76417535E-03
+117.75000E-06,+14.61158306715E+00,+14.75528404937E+00,+143.63579322E-03
+117.80000E-06,+14.60914507063E+00,+14.75405227037E+00,+144.84182948E-03
+117.85000E-06,+14.60788947668E+00,+14.75196327516E+00,+144.00863519E-03
+117.90000E-06,+14.60604434165E+00,+14.75054193611E+00,+144.43311034E-03
+117.95000E-06,+14.60450746532E+00,+14.74923516270E+00,+144.66321050E-03
